OBJECTID,ID,HOSPITAL_ NAME,ADDRESS,CITY,STUSPS,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,ST_FIPS,OWNER,BEDS,TRAUMA,HELIPAD,ZCTA5CE10
3011,5146140,HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,IN,46140,(317) 468-4412,GENERAL ACUTE CARE,OPEN,68,HANCOCK,18059,USA,39.79549333,-85.76808106,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.hancockregional.org,18,GOVERNMENT - LOCAL,68,NOT AVAILABLE,N,46140
3012,4188435,GUADALUPE COUNTY HOSPITAL,117 CAMINO DE VIDA,SANTA ROSA,NM,88435,(575) 472-3417,GENERAL ACUTE CARE,OPEN,10,GUADALUPE,35019,USA,34.93021528,-104.6935647,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2014-02-12T00:00:00.000Z,http://www.srnm.org/Residents/Health-Care.aspx,35,GOVERNMENT - LOCAL,10,NOT AVAILABLE,Y,88435
3013,3788061,GILA REGIONAL MEDICAL CENTER,1313 EAST 32ND STREET,SILVER CITY,NM,88061,(575) 538-4000,GENERAL ACUTE CARE,OPEN,71,GRANT,35017,USA,32.79712998,-108.2609177,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.grmc.org,35,GOVERNMENT - LOCAL,71,NOT AVAILABLE,Y,88061
3014,188008,PEAK BEHAVIORAL HEALTH SERVICES,5065 MCNUTT ROAD,SANTA TERESA,NM,88008,(575) 589-3000,PSYCHIATRIC,OPEN,88,DONA ANA,35013,USA,31.84226996,-106.6197642,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.peakbehavioral.com/,35,PROPRIETARY,88,NOT AVAILABLE,N,88008
3015,11551534,GLENWOOD STATE HOSPITAL SCHOOL,711 SOUTH VINE STREET,GLENWOOD,IA,51534,(712) 527-4811,GENERAL ACUTE CARE,OPEN,851,MILLS,19129,USA,41.03921194,-95.73556612,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dia-hfd.iowa.gov/DIA_HFD/CTLEntitySearch.do,2018-08-09T00:00:00.000Z,IMAGERY,2016-04-19T00:00:00.000Z,NOT AVAILABLE,19,GOVERNMENT - STATE,851,NOT AVAILABLE,N,51534
3016,5488011,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,(575) 556-7600,GENERAL ACUTE CARE,OPEN,168,DONA ANA,35013,USA,32.32366851,-106.7289159,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.mountainviewregional.com,35,PROPRIETARY,168,NOT AVAILABLE,Y,88011
3017,1687301,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,1901 REDROCK DRIVE,GALLUP,NM,87301,(505) 863-7000,GENERAL ACUTE CARE,OPEN,69,MCKINLEY,35031,USA,35.50651464,-108.7265048,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.rmch.org,35,NON-PROFIT,69,NOT AVAILABLE,Y,87301
3018,1887313,CROWNPOINT PUBLIC HEALTH SERVICES INDIAN HOSPITAL,STATE ROUTE 371 AND ROUTE 9,CROWNPOINT,NM,87313,(505) 786-5291,GENERAL ACUTE CARE,OPEN,32,MCKINLEY,35031,USA,35.69866636,-108.1396105,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2013-11-14T00:00:00.000Z,https://www.ihs.gov/navajo/healthcarefacilities/crownpoint/,35,GOVERNMENT - FEDERAL,32,NOT AVAILABLE,Y,87313
3019,3985206,HEALTHSOUTH EAST VALLEY REHABILITATION,5652 E BASELINE ROAD,GILBERT,AZ,85206,(480) 567-0350,REHABILITATION,OPEN,60,MARICOPA,4013,USA,33.37995297,-111.709875,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.azdhs.gov/als/databases/,2018-08-11T00:00:00.000Z,IMAGERY,2013-12-09T00:00:00.000Z,www.healthsoutheastvalley.com,4,PROPRIETARY,60,NOT AVAILABLE,N,85206
3020,887102,HEART HOSPITAL OF NEW MEXICO,504 ELM STREET NORTHEAST,ALBUQUERQUE,NM,87102,(505) 727-8000,SPECIAL,OPEN,55,BERNALILLO,35001,USA,35.08779025,-106.6370569,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2014-03-12T00:00:00.000Z,http://nmhi.com/locations/viewlocation.cfm?lid=46EBFAA9-E0CB-91F4-29D6D6E79B1B61AA,35,PROPRIETARY,55,NOT AVAILABLE,Y,87102
3021,4387109,LOVELACE WOMENS HOSPITAL,4701 MONTGOMERY BOULEVARD NORTHEAST,ALBUQUERQUE,NM,87109,(505) 727-7805,WOMEN,OPEN,120,BERNALILLO,35001,USA,35.13176802,-106.5910026,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2013-11-14T00:00:00.000Z,http://www.lovelace.com/albuquerque-hospital/lovelace-womens-hospital,35,PROPRIETARY,120,NOT AVAILABLE,N,87109
3022,2789149,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 NORTH DURANGO DRIVE,LAS VEGAS,NV,89149,(702) 835-9720,GENERAL ACUTE CARE,OPEN,171,CLARK,32003,USA,36.28705722,-115.2854705,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2013-11-26T00:00:00.000Z,http://www.centennialhillshospital.com,32,PROPRIETARY,171,NOT AVAILABLE,Y,89149
3023,130345408,HEALTHSOUTH REHABILITATION HOSPITAL DAYTON,ONE ELIZABETH PLACE,DAYTON,OH,45417,(937) 424-8200,REHABILITATION,OPEN,50,MONTGOMERY,39113,USA,39.74824359,-84.19999272,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY/OTHER,2015-03-12T00:00:00.000Z,http://www.healthsouthdayton.com/,39,PROPRIETARY,50,NOT AVAILABLE,N,45417
3024,3189123,HORIZON SPECIALTY HOSPITAL OF HENDERSON,8550 S EASTERN AVE,HENDERSON,NV,89123,(702) 382-3155,GENERAL ACUTE CARE,OPEN,39,CLARK,32003,USA,36.03364521,-115.116711,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,2018-08-09T00:00:00.000Z,IMAGERY,2014-02-12T00:00:00.000Z,www.horizonspecialtyhosp.com/?,32,PROPRIETARY,39,NOT AVAILABLE,N,89123
3025,4384066,UINTAH BASIN CARE AND REHABILITATION,187 WEST LAGOON STREET,ROOSEVELT,UT,84066,(435) 722-2497,REHABILITATION,OPEN,-999,DUCHESNE,49013,USA,40.29890738,-109.9946111,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,2018-08-11T00:00:00.000Z,IMAGERY,2014-02-12T00:00:00.000Z,NOT AVAILABLE,49,NOT AVAILABLE,,NOT AVAILABLE,N,84066
3026,1784010,BENCHMARK REGIONAL HOSPITAL,592 WEST 1350 SOUTH,WOODS CROSS,UT,84010,(801) 299-5300,PSYCHIATRIC,OPEN,84,DAVIS,49011,USA,40.87776392,-111.8955204,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,2018-08-11T00:00:00.000Z,IMAGERY,2014-02-12T00:00:00.000Z,http://www.bbhsnet.com/,49,PROPRIETARY,84,NOT AVAILABLE,N,84010
3027,10947586,PERRY COUNTY MEMORIAL HOSPITAL,ONE HOSPITAL RD,TELL CITY,IN,47586,(812) 547-7011,CRITICAL ACCESS,OPEN,25,PERRY,18123,USA,37.92786126,-86.7585422,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-01-24T00:00:00.000Z,http://www.pchospital.org,18,GOVERNMENT - LOCAL,25,NOT AVAILABLE,Y,47586
3028,3884606,UTAH STATE HOSPITAL,1300 EAST CENTER STREET,PROVO,UT,84606,(801) 344-4400,PSYCHIATRIC,OPEN,329,UTAH,49049,USA,40.23482251,-111.6353181,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,2018-08-11T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.ush.utah.gov,49,GOVERNMENT - STATE,329,NOT AVAILABLE,N,84606
3029,29745439,KETTERING YOUTH SERVICES,5350 LAMME ROAD,DAYTON,OH,45439,(937) 534-4600,PSYCHIATRIC,OPEN,60,MONTGOMERY,39113,USA,39.67539568,-84.21101073,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY/OTHER,2016-09-21T00:00:00.000Z,http://ketteringhealth.org/mentalhealth/,39,NON-PROFIT,60,NOT AVAILABLE,N,45439
3030,4289027,MESA VIEW REGIONAL HOSPITAL,1299 BERTHA HOWE AVENUE,MESQUITE,NV,89027,(702) 346-8040,GENERAL ACUTE CARE,OPEN,25,CLARK,32003,USA,36.81003991,-114.1159479,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2013-11-26T00:00:00.000Z,http://www.mesaviewhospital.com,32,PROPRIETARY,25,NOT AVAILABLE,Y,89027
3031,3284094,HEALTH SOUTH REHABILITATION HOSPITAL,8074 SOUTH 1300 EAST,SANDY,UT,84094,(801) 561-3400,REHABILITATION,OPEN,105,SALT LAKE,49035,USA,40.60482005,-111.8547873,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,2018-08-11T00:00:00.000Z,IMAGERY,2013-12-06T00:00:00.000Z,http://www.healthsouthutah.com,49,PROPRIETARY,105,NOT AVAILABLE,N,84094
3032,112789106,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,1700 VEGAS DRIVE,LAS VEGAS,NV,89106,NOT AVAILABLE,MILITARY,OPEN,-999,CLARK,32003,USA,36.18914441,-115.1628326,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,2018-09-26T00:00:00.000Z,IMAGERY/OTHER,2015-02-10T00:00:00.000Z,NOT AVAILABLE,32,GOVERNMENT - FEDERAL,,NOT AVAILABLE,N,89106
3033,8132425,DOCTORS MEMORIAL HOSPITAL,2600 HOSPITAL DR,BONIFAY,FL,32425,(850) 547-8000,GENERAL ACUTE CARE,OPEN,20,HOLMES,12059,USA,30.76108081,-85.68303237,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,2018-08-15T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.doctorsmemorialhospital.com,12,GOVERNMENT - DISTRICT/AUTHORITY,20,NOT AVAILABLE,Y,32425
3034,5447714,HEALTHSOUTH DEACONESS REHABILITATION HOSPITAL,4100 COVERT AVE,EVANSVILLE,IN,47714,(812) 476-9983,REHABILITATION,OPEN,103,VANDERBURGH,18163,USA,37.95613074,-87.50069541,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-01-22T00:00:00.000Z,http://www.healthsouthdeaconess.com,18,PROPRIETARY,103,NOT AVAILABLE,N,47714
3035,5347802,HARSHA BEHAVIORAL CENTER INC,1420 E CROSSING BLVD,TERRE HAUTE,IN,47802,(812) 298-8888,PSYCHIATRIC,OPEN,36,VIGO,18167,USA,39.39857671,-87.39891964,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.harshacenter.com,18,PROPRIETARY,36,NOT AVAILABLE,N,47802
3036,2444708,MERCY MEDICAL CENTER,1320 MERCY DRIVE NW,CANTON,OH,44708,(330) 489-1000,GENERAL ACUTE CARE,OPEN,441,STARK,39151,USA,40.81215791,-81.39487546,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,http://www.cantonmercy.org,39,NON-PROFIT,441,LEVEL II,Y,44708
3037,5284047,HIGHLAND RIDGE HOSPITAL,7309 SOUTH 180 WEST,MIDVALE,UT,84047,(801) 569-2153,PSYCHIATRIC,OPEN,53,SALT LAKE,49035,USA,40.61774314,-111.8967095,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,2018-08-11T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,www.highlandridgehospital.com,49,PROPRIETARY,53,NOT AVAILABLE,N,84047
3038,13701801,HEALTHSOUTH NEW ENGLAND REHABILITATION HOSPITAL,2 REHABILITATION WAY,WOBURN,MA,1801,(781) 935-5050,REHABILITATION,OPEN,168,MIDDLESEX,25017,USA,42.46344406,-71.1619463,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-08-16T00:00:00.000Z,IMAGERY,2016-08-02T00:00:00.000Z,http://www.healthsouthnewengland.com/,25,PROPRIETARY,168,NOT AVAILABLE,N,1801
3039,2684634,GUNNISON VALLEY HOSPITAL,64 EAST 100 NORTH STREET,GUNNISON,UT,84634,(435) 528-7246,CRITICAL ACCESS,OPEN,25,SANPETE,49039,USA,39.15625599,-111.8164866,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,2018-08-11T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.gvhospital.org,49,GOVERNMENT - LOCAL,25,NOT AVAILABLE,Y,84634
3040,10346580,OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,1535 PROVIDENT DR,WARSAW,IN,46580,(574) 267-7169,PSYCHIATRIC,OPEN,16,KOSCIUSKO,18085,USA,41.25182737,-85.83109258,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.bowencenter.org,18,NON-PROFIT,16,NOT AVAILABLE,N,46580
3041,3646321,FRANCISCAN PHYSICIANS HOSPITAL LLC,701 SUPERIOR AVE,MUNSTER,IN,46321,(219) 922-4200,GENERAL ACUTE CARE,OPEN,63,LAKE,18089,USA,41.53775793,-87.51201932,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.franciscanalliance.org/hospitals/munster/Pages/default.aspx,18,NON-PROFIT,63,NOT AVAILABLE,Y,46321
3042,4446311,FRANCISCAN ST MARGARET HEALTH - DYER,24 JOLIET ST,DYER,IN,46311,(219) 865-2141,GENERAL ACUTE CARE,OPEN,198,LAKE,18089,USA,41.49235146,-87.52471744,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,https://www.franciscanhealth.org/dyer,18,NON-PROFIT,198,NOT AVAILABLE,Y,46311
3043,16185339,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,AZ,85339,(623) 584-5100,GENERAL ACUTE CARE,OPEN,16,MARICOPA,4013,USA,33.3802854,-112.1670055,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.azdhs.gov/als/databases/,2018-08-11T00:00:00.000Z,IMAGERY/OTHER,2016-03-09T00:00:00.000Z,http://dignityhealth.org/arizonageneral/,4,NON-PROFIT,16,NOT AVAILABLE,N,85339
3044,4699508,NORTH STAR HOSPITAL - BRAGAW CAMPUS,1650 BRAGAW STREET,ANCHORAGE,AK,99508,(907) 258-7575,PSYCHIATRIC,OPEN,-999,ANCHORAGE,2020,USA,61.20563044,-149.8097583,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx,2018-08-09T00:00:00.000Z,IMAGERY,2016-03-28T00:00:00.000Z,www.northstarbehavioral.com,2,PROPRIETARY,,NOT AVAILABLE,N,99508
3045,7846131,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,FRANKLIN,IN,46131,(317) 736-3300,GENERAL ACUTE CARE,OPEN,125,JOHNSON,18081,USA,39.47966774,-86.0770006,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2014-03-12T00:00:00.000Z,http://www.johnsonmemorial.org,18,GOVERNMENT - LOCAL,125,NOT AVAILABLE,Y,46131
3046,746703,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,416 E MAUMEE ST,ANGOLA,IN,46703,(260) 665-2141,CRITICAL ACCESS,OPEN,25,STEUBEN,18151,USA,41.63437877,-84.99468911,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,http://www.cameronmch.com,18,NON-PROFIT,25,NOT AVAILABLE,Y,46703
3047,6646350,INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,1007 LINCOLNWAY,LA PORTE,IN,46350,(219) 326-1234,GENERAL ACUTE CARE,OPEN,227,LAPORTE,18091,USA,41.61065217,-86.72529027,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2014-03-12T00:00:00.000Z,http://www.iuhealth.org,18,NON-PROFIT,227,NOT AVAILABLE,Y,46350
3048,6347421,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,2900 W 16TH ST,BEDFORD,IN,47421,(812) 275-1200,CRITICAL ACCESS,OPEN,25,LAWRENCE,18093,USA,38.85992088,-86.51319832,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,http://www.iuhealth.com,18,NON-PROFIT,25,NOT AVAILABLE,Y,47421
3049,3706053,HOSPITAL FOR SPECIAL CARE,2150 CORBIN AVE,NEW BRITAIN,CT,6053,(860) 223-2761,CHRONIC DISEASE,OPEN,228,HARTFORD,9003,USA,41.68918192,-72.80199357,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://www.elicense.ct.gov/Lookup/GenerateRoster.aspx,2018-08-13T00:00:00.000Z,IMAGERY/OTHER,2016-03-31T00:00:00.000Z,http://hfsc.org/,9,NON-PROFIT,228,NOT AVAILABLE,N,6053
3050,4947441,GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,LINTON,IN,47441,(812) 847-2281,CRITICAL ACCESS,OPEN,25,GREENE,18055,USA,39.04074221,-87.13030991,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-03-12T00:00:00.000Z,http://www.greenecountyhospital.com,18,GOVERNMENT - LOCAL,25,NOT AVAILABLE,Y,47441
3051,4647670,GIBSON GENERAL HOSPITAL,1808 SHERMAN DR,PRINCETON,IN,47670,(812) 385-3401,CRITICAL ACCESS,OPEN,25,GIBSON,18051,USA,38.36091727,-87.58983221,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,2018-08-16T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.gibsongeneral.com,18,NON-PROFIT,25,NOT AVAILABLE,N,47670
